Identyfikator Produktu (ID)|Indeks produktu|Atrybut (Nazwa:Typ:Pozycja)*|Wartość (Wartość:Pozycja)*|Identyfikator dostawcy|Indeks|kod EAN13|Kod kreskowy UPC|MPN|Koszt własny|Wpływ na cenę|Podatek ekologiczny|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Wpływ na wagę|Domyślny (0 = Nie, 1 = Tak)|Data dostępności kombinacji|Wybierz z pośród zdjęć produktów wg pozycji (1,2,3...)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn
1|83537265|Gwarancja:select:0|1:0|||4892210199096||||0|0|500|1||0|0|1||1|https://static01.leroymerlin.pl/files/media/image/017/2879017/product/kosiarka-akumulatorowa-ryobi-max-power-rlm36x41h50pg-36v-40cm,large.jpg|Kosiarka akumulatorowa Ryobi Max Power RLM36X41H50PG 36V 40cm|0|0|0|0
1|83537265|Gwarancja:select:0|2:0|||4892210199096||||399.8|0|500|1||0|0|0||1|https://static01.leroymerlin.pl/files/media/image/017/2879017/product/kosiarka-akumulatorowa-ryobi-max-power-rlm36x41h50pg-36v-40cm,large.jpg|Kosiarka akumulatorowa Ryobi Max Power RLM36X41H50PG 36V 40cm|0|0|0|0
1|83537265|Gwarancja:select:0|3:0|||4892210199096||||699.65|0|500|1||0|0|0||1|https://static01.leroymerlin.pl/files/media/image/017/2879017/product/kosiarka-akumulatorowa-ryobi-max-power-rlm36x41h50pg-36v-40cm,large.jpg|Kosiarka akumulatorowa Ryobi Max Power RLM36X41H50PG 36V 40cm|0|0|0|0
3|82674470|Gwarancja:select:0|1:0|||3276007157215||||0|0|500|1||0|0|1||1|https://static02.leroymerlin.pl/files/media/image/323/2405323/product/kosiarka-akumulatorowa-sterwins-solo-40v-42cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 40V 42cm|0|0|0|0
3|82674470|Gwarancja:select:0|2:0|||3276007157215||||155.8|0|500|1||0|0|0||1|https://static02.leroymerlin.pl/files/media/image/323/2405323/product/kosiarka-akumulatorowa-sterwins-solo-40v-42cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 40V 42cm|0|0|0|0
3|82674470|Gwarancja:select:0|3:0|||3276007157215||||272.65|0|500|1||0|0|0||1|https://static02.leroymerlin.pl/files/media/image/323/2405323/product/kosiarka-akumulatorowa-sterwins-solo-40v-42cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 40V 42cm|0|0|0|0
5|82152401|Gwarancja:select:0|1:0|||3276000660040||||0|0|500|1||0|0|1||1|https://static01.leroymerlin.pl/files/media/image/567/2103567/product/kosiarka-akumulatorowa-sterwins-solo-20v-33cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 20V 33cm|0|0|0|0
5|82152401|Gwarancja:select:0|2:0|||3276000660040||||89.80000000000001|0|500|1||0|0|0||1|https://static01.leroymerlin.pl/files/media/image/567/2103567/product/kosiarka-akumulatorowa-sterwins-solo-20v-33cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 20V 33cm|0|0|0|0
5|82152401|Gwarancja:select:0|3:0|||3276000660040||||157.14999999999998|0|500|1||0|0|0||1|https://static01.leroymerlin.pl/files/media/image/567/2103567/product/kosiarka-akumulatorowa-sterwins-solo-20v-33cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 20V 33cm|0|0|0|0
7|82152403|Gwarancja:select:0|1:0|||3276000660064||||0|0|500|1||0|0|1||1|https://static02.leroymerlin.pl/files/media/image/549/2938549/product/kosiarka-akumulatorowa-sterwins-solo-40v-36cm,large.jpg|Kosiarka akumulatorowa Sterwins Solo 40V 36cm|0|0|0|0
