ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|Cena zawiera podatek. (brutto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)
|1|Kosiarka akumulatorowa Ryobi Max Power RLM36X41H50PG 36V 40cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-ryobi-max-power-rlm36x41h50pg-36v-40cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Sterwins Solo 40V 42cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-sterwins-solo-40v-42cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Sterwins Solo 20V 33cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-sterwins-solo-20v-33cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Sterwins Solo 40V 36cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-sterwins-solo-40v-36cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Gardenx SF8A110-W4020Y + podkaszarka + nożyce|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-gardenx-sf8a110-w4020y-podkaszarka-nozyce,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Kärcher LMO 18-33 Battery Set 18V 5Ah 33cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-k-rcher-lmo-18-33-battery-set-18v-5ah-33cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Kärcher LMO 18-36 Battery Set 18V 5Ah 36cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-k-rcher-lmo-18-36-battery-set-18v-5ah-36cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Worx 40V + podkaszarka|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-worx-40v-podkaszarka,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Ryobi One+ RY18LMx37A-0 18V 37cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-ryobi-one-ry18lmx37a-0-18v-37cm,large.jpg|||||||||||||||||||
|1|Kosiarka akumulatorowa Makita Solo DLM382Z 2x18V 38cm|Kosiarki, traktorki, roboty koszące$Kosiarki akumulatorowe|||||||||||||||||||||||||||||||||||||||||||||/images/kosiarka-akumulatorowa-makita-solo-dlm382z-2x18v-38cm,large.jpg|||||||||||||||||||
